Cities,Level,start,end
Jiaozuo,Yellow,09/12/2018,11/12/2018
Jiaozuo,Yellow,02/01/2021,17/01/2021
Jiaozuo,Yellow,16/11/2021,21/11/2021
Puyang,Yellow,05/12/2018,06/12/2018
Puyang,Yellow,10/12/2018,12/12/2018
Puyang,Yellow,02/01/2021,17/01/2021
Xuchang,Yellow,02/12/2019,03/12/2019
Xuchang,Yellow,02/01/2021,17/01/2021
Xuchang,Yellow,06/12/2021,13/12/2021
Luohe,Yellow,16/11/2021,22/11/2021
Sanmenxia,Yellow,09/12/2018,13/12/2018
Sanmenxia,Yellow,17/01/2019,21/02/2019
Sanmenxia,Yellow,02/03/2019,06/03/2019
Sanmenxia,Yellow,06/12/2021,12/12/2021
Nanyang,Yellow,02/01/2021,17/01/2021
Shangqiu,Yellow,17/11/2021,21/11/2021
Shangqiu,Yellow,24/11/2021,30/11/2021
Shangqiu,Yellow,07/12/2021,15/12/2021
Shangqiu,Yellow,01/01/2022,03/01/2022
Xinyang,Yellow,02/11/2019,10/11/2019
Zhoukou,Yellow,17/11/2021,30/11/2021
Zhoukou,Yellow,06/12/2021,12/12/2021
Zhumadian,Yellow,06/12/2021,15/12/2021
Beijing,Orange,22/02/2019,24/02/2019
Beijing,Orange,02/03/2019,04/03/2019
Beijing,Orange,01/10/2019,02/10/2019
Beijing,Orange,24/01/2021,25/01/2021
Tianjin,Orange,21/02/2019,25/02/2019
Tianjin,Orange,28/02/2019,05/03/2019
Tianjin,Orange,01/10/2019,01/10/2019
Tianjin,Orange,20/11/2019,23/11/2019
Tianjin,Orange,07/12/2019,10/12/2019
Tianjin,Orange,15/01/2020,19/01/2020
Tianjin,Orange,20/12/2020,23/12/2020
Shijiazhuang,Orange,19/10/2018,22/10/2018
Shijiazhuang,Orange,31/10/2018,05/11/2018
Shijiazhuang,Orange,11/11/2018,16/11/2018
Shijiazhuang,Orange,22/11/2018,04/12/2018
Shijiazhuang,Orange,24/12/2018,26/12/2018
Shijiazhuang,Orange,03/01/2019,19/01/2019
Shijiazhuang,Orange,28/01/2019,31/01/2019
Shijiazhuang,Orange,16/02/2019,21/03/2019
Shijiazhuang,Orange,01/10/2019,04/10/2019
Shijiazhuang,Orange,16/10/2019,25/10/2019
Shijiazhuang,Orange,01/11/2019,10/11/2019
Shijiazhuang,Orange,20/11/2019,24/11/2019
Shijiazhuang,Orange,28/11/2019,02/12/2019
Shijiazhuang,Orange,07/12/2019,29/12/2019
Shijiazhuang,Orange,02/01/2020,13/01/2020
Shijiazhuang,Orange,16/01/2020,16/01/2020
Shijiazhuang,Orange,20/01/2020,23/01/2020
Shijiazhuang,Orange,26/01/2020,02/02/2020
Shijiazhuang,Orange,05/02/2020,14/02/2020
Shijiazhuang,Orange,17/10/2020,20/10/2020
Shijiazhuang,Orange,24/10/2020,27/10/2020
Shijiazhuang,Orange,09/11/2020,18/11/2020
Shijiazhuang,Orange,23/11/2020,26/11/2020
Shijiazhuang,Orange,30/11/2020,13/12/2020
Shijiazhuang,Orange,15/12/2020,31/12/2020
Shijiazhuang,Orange,03/01/2021,05/01/2021
Shijiazhuang,Orange,08/02/2021,15/02/2021
Shijiazhuang,Orange,09/03/2021,14/03/2021
Shijiazhuang,Orange,27/10/2021,13/11/2021
Shijiazhuang,Orange,17/11/2021,19/11/2021
Shijiazhuang,Orange,25/11/2021,30/11/2021
Shijiazhuang,Orange,03/12/2021,31/12/2021
Shijiazhuang,Orange,07/01/2022,10/01/2022
Shijiazhuang,Orange,25/01/2022,29/01/2022
Tangshan,Orange,19/10/2018,25/10/2018
Tangshan,Orange,31/10/2018,04/11/2018
Tangshan,Orange,10/11/2018,16/11/2018
Tangshan,Orange,22/11/2018,03/12/2018
Tangshan,Orange,09/12/2018,03/01/2019
Tangshan,Orange,08/01/2019,14/01/2019
Tangshan,Orange,17/01/2019,19/01/2019
Tangshan,Orange,22/01/2019,25/01/2019
Tangshan,Orange,28/01/2019,30/01/2019
Tangshan,Orange,16/02/2019,28/02/2019
Tangshan,Orange,16/03/2019,20/03/2019
Tangshan,Orange,01/10/2019,04/10/2019
Tangshan,Orange,15/10/2019,24/10/2019
Tangshan,Orange,31/10/2019,07/11/2019
Tangshan,Orange,19/11/2019,24/11/2019
Tangshan,Orange,13/12/2019,17/12/2019
Tangshan,Orange,23/12/2019,26/12/2019
Tangshan,Orange,02/01/2020,07/01/2020
Tangshan,Orange,15/01/2020,23/01/2020
Tangshan,Orange,26/01/2020,01/02/2020
Tangshan,Orange,05/02/2020,14/02/2020
Tangshan,Orange,18/02/2020,24/02/2020
Tangshan,Orange,19/10/2020,21/10/2020
Tangshan,Orange,23/10/2020,01/11/2020
Tangshan,Orange,09/11/2020,18/11/2020
Tangshan,Orange,07/12/2020,12/12/2020
Tangshan,Orange,03/01/2021,05/01/2021
Tangshan,Orange,22/01/2021,29/01/2021
Tangshan,Orange,08/02/2021,15/02/2021
Tangshan,Orange,23/02/2021,05/03/2021
Tangshan,Orange,07/03/2021,15/03/2021
Tangshan,Orange,28/10/2021,07/11/2021
Tangshan,Orange,15/11/2021,21/11/2021
Tangshan,Orange,24/11/2021,29/11/2021
Tangshan,Orange,03/12/2021,15/12/2021
Tangshan,Orange,19/12/2021,31/12/2021
Tangshan,Orange,03/01/2022,10/01/2022
Tangshan,Orange,24/01/2022,29/01/2022
Qinhuangdao,Orange,01/10/2019,04/10/2019
Qinhuangdao,Orange,20/10/2019,24/10/2019
Qinhuangdao,Orange,01/11/2019,07/11/2019
Qinhuangdao,Orange,20/11/2019,24/11/2019
Qinhuangdao,Orange,13/12/2019,17/12/2019
Qinhuangdao,Orange,24/10/2020,01/11/2020
Qinhuangdao,Orange,09/11/2020,18/11/2020
Qinhuangdao,Orange,07/12/2020,11/12/2020
Qinhuangdao,Orange,23/01/2021,26/01/2021
Qinhuangdao,Orange,08/02/2021,13/02/2021
Qinhuangdao,Orange,26/02/2021,05/03/2021
Qinhuangdao,Orange,07/03/2021,07/03/2021
Qinhuangdao,Orange,27/10/2021,31/10/2021
Qinhuangdao,Orange,02/11/2021,06/11/2021
Qinhuangdao,Orange,24/11/2021,29/11/2021
Qinhuangdao,Orange,03/12/2021,12/12/2021
Qinhuangdao,Orange,04/01/2022,10/01/2022
Qinhuangdao,Orange,19/01/2022,26/01/2022
Handan,Orange,19/10/2018,22/10/2018
Handan,Orange,31/10/2018,04/11/2018
Handan,Orange,11/11/2018,16/11/2018
Handan,Orange,22/11/2018,03/12/2018
Handan,Orange,12/12/2018,14/12/2018
Handan,Orange,04/01/2019,25/01/2019
Handan,Orange,28/01/2019,20/02/2019
Handan,Orange,01/10/2019,05/10/2019
Handan,Orange,16/10/2019,25/10/2019
Handan,Orange,01/11/2019,10/11/2019
Handan,Orange,15/11/2019,18/11/2019
Handan,Orange,20/11/2019,24/11/2019
Handan,Orange,28/11/2019,01/12/2019
Handan,Orange,06/12/2019,23/12/2019
Handan,Orange,01/01/2020,18/01/2020
Handan,Orange,20/01/2020,24/01/2020
Handan,Orange,26/01/2020,28/01/2020
Handan,Orange,05/02/2020,14/02/2020
Handan,Orange,19/02/2020,22/02/2020
Handan,Orange,26/02/2020,01/03/2020
Handan,Orange,09/11/2020,18/11/2020
Handan,Orange,24/11/2020,27/11/2020
Handan,Orange,30/11/2020,13/12/2020
Handan,Orange,25/12/2020,27/12/2020
Handan,Orange,21/01/2021,28/01/2021
Handan,Orange,09/02/2021,12/02/2021
Handan,Orange,08/03/2021,14/03/2021
Handan,Orange,28/10/2021,07/11/2021
Handan,Orange,16/11/2021,20/11/2021
Handan,Orange,25/11/2021,30/11/2021
Handan,Orange,03/12/2021,31/12/2021
Handan,Orange,04/01/2022,30/01/2022
Xingtai,Orange,19/10/2018,23/10/2018
Xingtai,Orange,31/10/2018,05/11/2018
Xingtai,Orange,11/11/2018,16/11/2018
Xingtai,Orange,22/11/2018,04/12/2018
Xingtai,Orange,01/01/2019,19/01/2019
Xingtai,Orange,24/01/2019,03/02/2019
Xingtai,Orange,16/02/2019,20/02/2019
Xingtai,Orange,01/10/2019,04/10/2019
Xingtai,Orange,16/10/2019,25/10/2019
Xingtai,Orange,30/10/2019,10/11/2019
Xingtai,Orange,14/11/2019,17/11/2019
Xingtai,Orange,20/11/2019,24/11/2019
Xingtai,Orange,27/11/2019,01/12/2019
Xingtai,Orange,06/12/2019,24/12/2019
Xingtai,Orange,01/01/2020,04/01/2020
Xingtai,Orange,14/01/2020,17/01/2020
Xingtai,Orange,25/01/2020,26/01/2020
Xingtai,Orange,19/02/2020,01/03/2020
Xingtai,Orange,23/10/2020,27/10/2020
Xingtai,Orange,09/11/2020,18/11/2020
Xingtai,Orange,24/11/2020,27/11/2020
Xingtai,Orange,30/11/2020,12/12/2020
Xingtai,Orange,18/12/2020,28/12/2020
Xingtai,Orange,21/01/2021,28/01/2021
Xingtai,Orange,09/02/2021,15/02/2021
Xingtai,Orange,25/02/2021,16/03/2021
Xingtai,Orange,28/10/2021,07/11/2021
Xingtai,Orange,16/11/2021,19/11/2021
Xingtai,Orange,24/11/2021,30/11/2021
Xingtai,Orange,03/12/2021,06/12/2021
Xingtai,Orange,09/12/2021,15/12/2021
Xingtai,Orange,26/12/2021,31/12/2021
Xingtai,Orange,04/01/2022,31/01/2022
Baoding,Orange,19/10/2018,22/10/2018
Baoding,Orange,31/10/2018,04/11/2018
Baoding,Orange,11/11/2018,16/11/2018
Baoding,Orange,22/11/2018,03/12/2018
Baoding,Orange,12/12/2018,23/12/2018
Baoding,Orange,05/01/2019,14/01/2019
Baoding,Orange,16/02/2019,20/02/2019
Baoding,Orange,01/10/2019,04/10/2019
Baoding,Orange,16/10/2019,24/10/2019
Baoding,Orange,01/11/2019,10/11/2019
Baoding,Orange,20/11/2019,24/11/2019
Baoding,Orange,07/12/2019,10/12/2019
Baoding,Orange,13/12/2019,26/12/2019
Baoding,Orange,02/01/2020,11/01/2020
Baoding,Orange,16/01/2020,23/01/2020
Baoding,Orange,27/01/2020,27/01/2020
Baoding,Orange,05/02/2020,14/02/2020
Baoding,Orange,20/02/2020,01/03/2020
Baoding,Orange,24/10/2020,27/10/2020
Baoding,Orange,09/11/2020,18/11/2020
Baoding,Orange,23/11/2020,27/11/2020
Baoding,Orange,30/11/2020,07/12/2020
Baoding,Orange,09/12/2020,13/12/2020
Baoding,Orange,25/12/2020,29/12/2020
Baoding,Orange,23/01/2021,27/01/2021
Baoding,Orange,08/02/2021,15/02/2021
Baoding,Orange,25/02/2021,01/03/2021
Baoding,Orange,04/03/2021,15/03/2021
Baoding,Orange,28/10/2021,07/11/2021
Baoding,Orange,17/11/2021,21/11/2021
Baoding,Orange,25/11/2021,30/11/2021
Baoding,Orange,04/12/2021,06/12/2021
Baoding,Orange,08/12/2021,15/12/2021
Baoding,Orange,19/12/2021,31/12/2021
Baoding,Orange,04/01/2022,10/01/2022
Baoding,Orange,19/01/2022,30/01/2022
Chengde,Orange,24/01/2022,25/01/2022
Cangzhou,Orange,19/10/2018,22/10/2018
Cangzhou,Orange,31/10/2018,04/11/2018
Cangzhou,Orange,11/11/2018,16/11/2018
Cangzhou,Orange,22/11/2018,03/12/2018
Cangzhou,Orange,09/12/2018,31/12/2018
Cangzhou,Orange,02/01/2019,25/01/2019
Cangzhou,Orange,28/01/2019,30/01/2019
Cangzhou,Orange,16/02/2019,20/02/2019
Cangzhou,Orange,16/03/2019,20/03/2019
Cangzhou,Orange,01/10/2019,04/10/2019
Cangzhou,Orange,16/10/2019,25/10/2019
Cangzhou,Orange,01/11/2019,07/11/2019
Cangzhou,Orange,20/11/2019,24/11/2019
Cangzhou,Orange,13/12/2019,17/12/2019
Cangzhou,Orange,22/12/2019,26/12/2019
Cangzhou,Orange,02/01/2020,11/01/2020
Cangzhou,Orange,15/01/2020,17/01/2020
Cangzhou,Orange,26/01/2020,27/01/2020
Cangzhou,Orange,26/02/2020,01/03/2020
Cangzhou,Orange,23/10/2020,26/10/2020
Cangzhou,Orange,09/11/2020,18/11/2020
Cangzhou,Orange,08/12/2020,13/12/2020
Cangzhou,Orange,15/12/2020,25/12/2020
Cangzhou,Orange,03/01/2021,04/01/2021
Cangzhou,Orange,13/01/2021,15/01/2021
Cangzhou,Orange,19/01/2021,27/01/2021
Cangzhou,Orange,29/01/2021,31/01/2021
Cangzhou,Orange,07/02/2021,14/02/2021
Cangzhou,Orange,24/02/2021,28/02/2021
Cangzhou,Orange,03/03/2021,15/03/2021
Cangzhou,Orange,28/10/2021,07/11/2021
Cangzhou,Orange,25/11/2021,25/11/2021
Cangzhou,Orange,03/12/2021,06/12/2021
Cangzhou,Orange,08/12/2021,12/12/2021
Cangzhou,Orange,26/12/2021,31/12/2021
Cangzhou,Orange,04/01/2022,10/01/2022
Cangzhou,Orange,19/01/2022,30/01/2022
Langfang,Orange,19/10/2018,22/10/2018
Langfang,Orange,31/10/2018,04/11/2018
Langfang,Orange,11/11/2018,16/11/2018
Langfang,Orange,22/11/2018,03/12/2018
Langfang,Orange,12/12/2018,31/12/2018
Langfang,Orange,02/01/2019,19/01/2019
Langfang,Orange,16/02/2019,23/02/2019
Langfang,Orange,16/03/2019,31/03/2019
Langfang,Orange,01/10/2019,04/10/2019
Langfang,Orange,16/10/2019,24/10/2019
Langfang,Orange,01/11/2019,07/11/2019
Langfang,Orange,20/11/2019,24/11/2019
Langfang,Orange,13/12/2019,17/12/2019
Langfang,Orange,23/12/2019,26/12/2019
Langfang,Orange,02/01/2020,08/01/2020
Langfang,Orange,26/01/2020,01/02/2020
Langfang,Orange,05/02/2020,14/02/2020
Langfang,Orange,27/02/2020,01/03/2020
Langfang,Orange,24/10/2020,26/10/2020
Langfang,Orange,09/11/2020,18/11/2020
Langfang,Orange,09/02/2021,12/02/2021
Langfang,Orange,25/02/2021,01/03/2021
Langfang,Orange,04/03/2021,15/03/2021
Langfang,Orange,28/10/2021,07/11/2021
Langfang,Orange,17/11/2021,19/11/2021
Langfang,Orange,25/11/2021,29/11/2021
Langfang,Orange,08/12/2021,12/12/2021
Langfang,Orange,27/12/2021,31/12/2021
Langfang,Orange,04/01/2022,10/01/2022
Langfang,Orange,19/01/2022,30/01/2022
Hengshui,Orange,19/10/2018,22/10/2018
Hengshui,Orange,31/10/2018,04/11/2018
Hengshui,Orange,11/11/2018,16/11/2018
Hengshui,Orange,22/11/2018,27/11/2018
Hengshui,Orange,30/11/2018,03/12/2018
Hengshui,Orange,12/12/2018,17/12/2018
Hengshui,Orange,19/12/2018,23/12/2018
Hengshui,Orange,01/01/2019,14/01/2019
Hengshui,Orange,16/03/2019,20/03/2019
Hengshui,Orange,01/10/2019,04/10/2019
Hengshui,Orange,17/10/2019,24/10/2019
Hengshui,Orange,01/11/2019,10/11/2019
Hengshui,Orange,20/11/2019,24/11/2019
Hengshui,Orange,28/11/2019,01/12/2019
Hengshui,Orange,07/12/2019,10/12/2019
Hengshui,Orange,13/12/2019,23/12/2019
Hengshui,Orange,02/01/2020,06/01/2020
Hengshui,Orange,09/01/2020,13/01/2020
Hengshui,Orange,16/01/2020,23/01/2020
Hengshui,Orange,26/01/2020,01/02/2020
Hengshui,Orange,05/02/2020,14/02/2020
Hengshui,Orange,23/10/2020,27/10/2020
Hengshui,Orange,09/11/2020,18/11/2020
Hengshui,Orange,08/12/2020,13/12/2020
Hengshui,Orange,19/12/2020,23/12/2020
Hengshui,Orange,25/12/2020,28/12/2020
Hengshui,Orange,24/01/2021,27/01/2021
Hengshui,Orange,09/02/2021,15/02/2021
Hengshui,Orange,25/02/2021,01/03/2021
Hengshui,Orange,09/03/2021,15/03/2021
Hengshui,Orange,28/10/2021,07/11/2021
Hengshui,Orange,25/11/2021,01/12/2021
Hengshui,Orange,08/12/2021,12/12/2021
Hengshui,Orange,27/12/2021,31/12/2021
Hengshui,Orange,04/01/2022,10/01/2022
Hengshui,Orange,19/01/2022,30/01/2022
Taiyuan,Orange,01/12/2018,04/12/2018
Taiyuan,Orange,03/01/2019,05/01/2019
Taiyuan,Orange,08/01/2019,14/01/2019
Taiyuan,Orange,18/01/2019,19/01/2019
Taiyuan,Orange,05/02/2019,09/02/2019
Taiyuan,Orange,11/02/2019,14/02/2019
Taiyuan,Orange,17/02/2019,26/02/2019
Taiyuan,Orange,01/03/2019,04/03/2019
Taiyuan,Orange,01/10/2019,02/10/2019
Taiyuan,Orange,20/10/2019,23/10/2019
Taiyuan,Orange,31/10/2019,09/11/2019
Taiyuan,Orange,14/11/2019,16/11/2019
Taiyuan,Orange,05/12/2019,09/12/2019
Taiyuan,Orange,12/12/2019,16/12/2019
Taiyuan,Orange,20/12/2019,22/12/2019
Taiyuan,Orange,26/12/2019,31/12/2019
Taiyuan,Orange,04/01/2020,07/01/2020
Taiyuan,Orange,13/01/2020,15/01/2020
Taiyuan,Orange,18/01/2020,31/01/2020
Taiyuan,Orange,16/11/2020,17/11/2020
Taiyuan,Orange,25/11/2020,30/12/2020
Taiyuan,Orange,19/01/2021,26/01/2021
Taiyuan,Orange,19/01/2022,29/01/2022
Datong,Orange,01/10/2019,02/10/2019
Datong,Orange,05/01/2020,08/01/2020
Datong,Orange,14/01/2020,31/01/2020
Datong,Orange,04/11/2021,06/11/2021
Yangquan,Orange,15/11/2018,16/11/2018
Yangquan,Orange,22/11/2018,06/12/2018
Yangquan,Orange,08/12/2018,21/12/2018
Yangquan,Orange,01/01/2019,06/01/2019
Yangquan,Orange,17/01/2019,20/01/2019
Yangquan,Orange,23/01/2019,01/02/2019
Yangquan,Orange,12/02/2019,31/03/2019
Yangquan,Orange,01/10/2019,02/10/2019
Yangquan,Orange,11/10/2019,14/10/2019
Yangquan,Orange,17/10/2019,23/10/2019
